First	Last	Institution	Working_Group	Website
Anshuman	Acharya	"University of California, Berkeley"	SynthObs	https://www.anshumanastro.com
Tara	Akhound-Sadegh	Université de Montréal / Mila	AFM	
Justin	Alsing	Stockholm University	ILI	
Adam	Andrews	INAF OAS Bologna	BORG	
Daniel	Anglés-Alcázar	University of Connecticut	TSG	
Metin	Ata	Stockholm University	BORG	
Anirban	Bairagi	Institut d'Astrophysique de Paris	ILI	
Deaglan	Bartlett	Oxford University	"AFM, ILI, BORG, SynthObs"	https://deaglanbartlett.github.io/
Adrian	Bayer	Princeton University	"AFM, ILI"	
Jake	Bennett	University of Nottingham	SFGW	
Aklant	Bhowmick	University of Virginia	"BH, COSMO"	
Laura	Blecha	University of Florida	BH	
Chotipan	Boonkongkird	Institut d'Astrophysique de Paris (IAP)	BORG	
Olga	Borodina	Center for Astrophysics | Harvard & Smithsonian	BH	
Antoine	Bourdin	University of Chicago	AFM	
Martin	Bourne	University of Hertfordshire	BH	
Gregory	Bryan	Columbia University	"BH, COSMO, ILI"	
Jan David	Burger	MPA Garching	"COSMO, BH"	
Christopher	Carr	Princeton University	SFGW	
Nicolas	Chartier	Seoul National University	ILI	
Nianyi	Chen	Max Planck Institute for Astrophysics	"BH, COSMO"	
Ena	Choi	University of Seoul	BH	
Hyunseop (Joseph)	Choi	University de Montreal	BH	
Rachel	Cochrane	University of Manchester	SynthObs	https://users.flatironinstitute.org/~rcochrane/
Tiago	Costa	Newcastle University	BH	
Carolina	Cuesta Lazaro	Flatiron Institute	"ILI, AFM"	
Rachel	Darlinger	University de Montreal	"ILI, AFM"	
Ana Maria	Delgado	Johns Hopkins University	ILI	
Noé	Dia	Université de Montréal / Mila	"ILI, AFM"	
Simon	Ding	Institut d'Astrophysique de Paris	BORG	
Ludvig	Doeser	Stockholm University	BORG	
Jameson	Dong	Johns Hopkins University	ILI	
Marion	Farcy	Ecole Polytechnique Fédérale de Lausanne	BH	
Simone	Ferraro	"LBNL / University of California, Berkeley"	SynthObs	
Drummond	Fielding	NYU	SFGW	https://dfielding14.github.io/
Emanuele	Fondi	Institut d’Astrophysique de Paris	BORG	
Austen	Gabrielpillai	Columbia University	SynthObs	
Brianna	Galgano	Johns Hopkins University	ILI	
Fred Angelo	Garcia	Columbia University	TSG	https://fred144.github.io/
Shy	Genel	"CCA, Flatiron Institute"	TSG	
Anna	Genina	Max-Planck-Institute for Astrophysics	BH	
Minghao	Guo	Princeton University	BH	
Boryana	Hadzhiyska	University of Cambridge	SynthObs	
ChangHoon	Hahn	Princeton University	ILI	
Sultan	Hassan	NYU	"SFGW, SynthObs"	
Lars	Hernquist	Harvard University	BH	
Yashar	Hezaveh	Université de Montréal / Mila	AFM	
Michaela	Hirschmann	EPFL	SynthObs	
Julie	Hlavacek-Larrondo	Université de Montréal	BH	
Matthew	Ho	Columbia University	"ILI, AFM, BORG, SynthObs, Robustness"	https://maho3.github.io/
Shirley	Ho	Flatiron Institute	"ILI, AFM"	
Pontus	Holma	Stockholm University	BORG	
Kartheik	Iyer	Flatiron Institute	SynthObs	
Jens	Jasche	Stockholm University	BORG	
Sarah	Jeffreson	Princeton University	SFGW	
Niall	Jeffrey	University College London	ILI	
Christian	Jespersen	Princeton University	"ILI, AFM"	
Yongseok	Jo	SkAI	TSG	
Chang-Goo	Kim	Princeton University	SFGW	https://changgoo.github.io/
Sophie	Koudmani	University of Hertfordshire	BH	https://skoudmani.github.io/
Axel	Lapel	Institut d'Astrophysique de Paris	BORG	
Guilhem	Lavaux	Institut d'Astrophysique de Paris	BORG	https://www.guilhem-lavaux.eu
Florent	Leclercq	Institut d'Astrophysique de Paris	BORG	
Max	Lee	Columbia University	TSG	
Ronan	Legin	Université de Montréal	AFM	
Christopher	Lovell	University of Cambridge	"SynthObs, TSG"	https://www.christopherlovell.co.uk/
Amanda	Lue	Columbia University	TSG	
Francisco	Maion	Columbia University	"COSMO, AFM"	
Timothy Lucas	Makinen	University of Cambridge / Imperial College London	ILI	https://tlmakinen.github.io/
Rosa	Malandrino	Institut d’Astrophysique de Paris	ILI	
Stuart	McAlpine	University of Helsinki	BORG	
Michael	Messere	Columbia University	TSG	
Chirag	Modi	Flatiron Institute	ILI	
Sophie	Newman	University of Portsmouth	SynthObs	
Yueying	Ni	Harvard University	BH	
Boon Kiat	Oh	University of Connecticut	TSG	
Eve	Ostriker	Princeton University	SFGW	
Ruediger	Pakmor	Max Planck Institute for Astrophysics	COSMO	
Shivam	Pandey	Johns Hopkins University	"ILI, AFM, SynthObs"	
Viraj	Pandya	Columbia University	SynthObs	
Nicolas	Payot	Université de Montréal	AFM	
Lucia	Perez	Flatiron Institute	"SynthObs, TSG, ILI, AFM"	
Laurence	Perreault-Levasseur	Université de Montréal and Mila	AFM	
Natalie	Pham	Carnegie Mellon University	Robustness	
Barnabas	Poczos	Carnegie Mellon University	Robustness	
Lori	Porter	Columbia University	SFGW	
Kasar	Profit	University of Hertfordshire	SynthObs	
Marine	Prunier	University de Montreal	BH	
Eliot	Quataert	Princeton University	BH	
Siamak	Ravanbakhsh	McGill University	AFM	
Matthew	Scoggins	Columbia University	ILI	
Samuel	Sharief	University de Montreal	"AFM, ILI"	
Aarti	Singh	Carnegie Mellon University	Robustness	
Matthew	Smith	Max-Planck-Institute for Astrophysics	SFGW	
Rachel	Somerville	Flatiron Institute	SynthObs	
Laura	Sommovigo	Columbia University	SynthObs	
Hadi	Sotoudeh	Université de Montréal	AFM	
Volker	Springel	Max Planck Institute for Astrophysics	COSMO	
Tjitske	Starkenburg	Northwestern University	SynthObs	
Ulrich	Steinwandel	Max Planck Institute for Astrophysics	"SFGW, SynthObs"	
Richard	Stiskalek	Oxford University	"BORG, ILI"	https://richard-sti.github.io/
